ss_id	ss_name	ss_lat	ss_long
746	ул.Александра Невского	53.254493	50.311389
747	ул.Мелекесская	53.254859	50.314384
748	ул.Офицерская	53.254445	50.322483
749	ул.Офицерская	53.254535	50.323110
750	Дом Культуры	53.254140	50.329472
751	Дом Культуры	53.254272	50.329210
752	Площадь им.Кирова	53.219827	50.262359
753	Школа № 98	53.252629	50.338315
754	ул.Цеховая	53.247731	50.337728
755	ул.Транзитная	53.243654	50.337127
756	ул.Каховская	53.220643	50.265324
757	Автостанция Вольская	53.225262	50.255897
758	Станция метро Победа	53.206296	50.233872
759	ул.Гагарина	53.204188	50.229130
760	ул.Победы	53.203681	50.228969
761	Станция метро Советская	53.201791	50.222393
762	Станция метро Советская	53.201444	50.222543
763	ул.Советской Армии	53.201566	50.215580
764	ул.Советской Армии	53.201213	50.215011
765	ул.Карбышева	53.201245	50.204304
766	ул.Карбышева	53.200930	50.204432
767	Станция метро Спортивная	53.201097	50.198950
768	Станция метро Спортивная	53.200799	50.198966
769	ул.Авроры	53.200795	50.188865
770	ул.Авроры	53.200606	50.192136
771	ул.Революционная	53.200564	50.180228
772	ул.Полевая	53.201020	50.127893
773	ул.Ульяновская	53.196965	50.118441
774	ул.Ульяновская	53.196425	50.118055
775	ул.Братьев Коростелевых	53.190698	50.112390
776	ул.Галактионовская	53.192698	50.103885
777	ул.Галактионовская	53.192579	50.103810
778	Ильинская площадь	53.190640	50.113988
779	ул.Фрунзе	53.194442	50.096571
780	ул.Красноармейская	53.194106	50.095888
781	Филармония	53.192311	50.094494
782	Филармония	53.191729	50.094339
783	ул.Ленинградская	53.187785	50.091517
784	ул.Ленинградская	53.187940	50.091748
785	Площадь Революции	53.185298	50.088947
